Date,SPY,TLT,GLD,QQQ,IWM,EFA,AGG,VNQ
2022-02-11,97.888,110.3575,104.9773,97.3457,96.1193,94.5836,101.2331,100.6872
2022-02-14,97.1902,110.5422,105.4286,96.9218,94.7288,93.7427,101.1318,99.2612
2022-02-15,98.8591,110.2983,104.3811,99.4139,97.5214,95.7711,101.0076,100.7424
2022-02-16,100.0885,109.1457,104.7679,101.2923,98.1639,96.5702,100.2283,100.6504
2022-02-17,99.8884,108.0319,106.1363,100.3046,97.8403,96.5218,100.0806,99.5139
2022-02-18,101.0321,107.6304,105.2552,101.9462,99.0022,97.0224,100.0694,100.1045
2022-02-21,101.1815,108.2305,106.9409,101.5391,100.5709,96.4276,100.1865,101.0872
2022-02-22,101.4921,107.5361,106.6589,101.6653,100.5087,97.0314,100.0745,100.7938
2022-02-23,102.4,107.515,107.5813,103.1111,100.8724,97.326,100.1896,101.8616
2022-02-24,102.4207,107.6411,108.8925,102.8505,101.3148,97.3734,100.1617,102.9061
2022-02-25,103.2648,108.1314,110.4185,103.9314,102.6086,97.9909,100.3626,103.7853
2022-02-28,103.4012,108.6758,109.7216,105.2011,101.9856,97.2237,100.6936,104.0983
2022-03-01,104.0557,109.0644,109.8792,105.5796,102.6471,97.3234,100.9842,104.6009
2022-03-02,103.2813,109.0584,110.2182,104.3291,101.3991,96.7977,100.9584,103.4333
2022-03-03,102.8604,109.461,108.7847,103.1058,100.4553,96.1727,101.1298,103.999
2022-03-04,103.7396,108.9996,108.8019,103.6783,101.2956,96.643,101.0995,104.1342
2022-03-07,104.2929,110.3047,109.0212,104.6171,102.1995,96.9025,101.5375,104.777
2022-03-08,104.4314,109.5167,108.9311,105.0312,103.3125,97.7471,101.6961,104.794
2022-03-09,105.3386,109.3843,111.2344,105.7429,103.7476,98.0737,101.2912,104.9891
2022-03-10,104.6211,109.8133,111.5962,105.8583,103.6839,97.3917,101.2275,104.8137
2022-03-11,103.3508,112.0918,113.1085,104.114,101.3052,97.0326,101.7275,104.6161
2022-03-14,101.8266,112.0948,112.9379,102.2578,99.5777,96.2009,101.4792,103.0678
2022-03-15,101.9837,112.5699,113.8068,101.9103,98.7718,96.8341,101.6413,102.5614
2022-03-16,103.5274,112.112,115.1744,103.841,101.5939,99.3074,101.5805,105.3373
2022-03-17,104.2035,113.2436,114.4708,105.0736,102.8182,98.8991,101.7657,104.2748
2022-03-18,103.9785,114.0749,116.2057,104.8688,103.7283,98.2666,101.6749,104.2892
2022-03-21,104.3995,113.9029,114.0245,105.3521,103.1569,98.6415,101.7616,103.5831
2022-03-22,103.9316,113.0307,113.7507,105.2507,102.0807,98.4465,101.4113,102.2994
2022-03-23,103.8675,112.0364,112.9881,104.5297,103.3338,98.6645,101.0812,102.7708
2022-03-24,103.7982,111.8647,113.6037,104.8396,102.9469,98.2509,100.9543,100.7686
2022-03-25,102.3456,113.7957,115.5326,102.9744,101.9574,97.5194,101.8407,100.8811
2022-03-28,102.2622,112.8832,113.649,102.9581,101.3305,96.4654,101.5115,99.5006
2022-03-29,103.9421,113.1424,113.9219,105.8114,102.9521,97.2355,101.9017,101.2755
2022-03-30,102.9595,113.3478,112.9313,103.8757,102.5907,97.6522,101.7516,101.1946
2022-03-31,102.3642,113.1084,112.209,102.6973,102.0405,96.7138,101.7084,100.564
2022-04-01,102.1728,112.2916,111.4498,102.8295,102.1805,96.0755,101.5064,100.8668
2022-04-04,100.5933,113.4646,110.8044,101.2072,100.0736,93.7747,101.4714,99.0807
2022-04-05,100.8817,112.4603,111.3252,100.7164,100.3964,93.3538,101.085,99.254
2022-04-06,100.0975,112.4039,112.2652,99.4742,100.2478,92.3497,101.0792,99.8101
2022-04-07,97.7872,112.5373,112.6053,96.5607,98.2934,90.4506,100.9814,97.7555
2022-04-08,98.9111,112.3618,113.0889,97.7369,99.0975,90.9845,101.0387,98.3308
2022-04-11,99.223,114.3356,114.4313,98.0266,100.1335,91.1842,101.2614,98.1174
2022-04-12,97.4992,114.696,114.3055,96.7594,98.6441,89.8875,101.3888,95.0614
2022-04-13,97.7565,115.3998,112.928,97.6497,98.9939,89.8214,101.734,96.8233
2022-04-14,97.9645,115.5919,112.5282,97.5124,99.7023,89.6043,101.8273,96.7545
2022-04-15,98.4494,115.7579,113.7176,97.8765,100.0555,89.4606,101.7839,97.3538
2022-04-18,99.1968,114.5236,114.5179,99.4212,101.1296,91.0639,101.3801,97.2988
2022-04-19,97.5603,116.7325,115.4252,97.4475,99.6582,89.3648,102.2279,96.1791
2022-04-20,97.7007,117.4509,116.1078,97.7579,99.2842,89.6234,102.6999,97.2796
2022-04-21,99.2185,116.3015,115.0569,99.5468,100.7935,91.225,102.2652,99.6351
2022-04-22,99.1092,115.9278,113.9133,98.5999,101.1991,91.2291,102.0061,98.6809
2022-04-25,98.8327,117.786,113.9645,97.5934,100.6975,90.8187,102.063,98.2915
2022-04-26,98.6554,118.6133,116.0546,97.9523,100.4035,90.1803,102.5968,98.2436
2022-04-27,98.7079,118.5894,116.2862,97.9565,100.0968,89.867,102.5682,97.7297
2022-04-28,98.079,118.9899,116.0174,97.9352,97.7335,89.6267,102.8107,95.2447
2022-04-29,97.7989,118.7393,114.4412,97.219,96.7126,90.1014,102.9269,95.8259
2022-05-02,98.5085,117.2685,113.7313,98.2928,96.6478,90.7978,102.5533,95.8698
2022-05-03,99.2133,117.462,113.4978,99.7366,96.6023,91.4631,102.7392,96.0555
2022-05-04,99.5603,116.0338,114.2679,100.0454,96.7025,92.248,102.2496,95.3232
2022-05-05,98.1279,117.2671,112.9721,99.1838,93.9439,91.7621,102.553,93.7111
2022-05-06,97.6591,117.9032,113.0023,99.1679,93.5468,91.5133,102.6395,93.2793
2022-05-09,97.9838,115.9952,111.3092,99.8948,93.9428,91.6149,102.2045,93.628
2022-05-10,97.5205,115.4069,111.359,98.8248,93.8036,90.4449,102.1665,93.5563
2022-05-11,97.7967,116.3248,113.2917,99.6999,92.9857,89.8263,102.2329,93.3785
2022-05-12,98.3168,115.3803,113.3991,99.9653,93.1444,89.4023,101.8391,92.5756
2022-05-13,97.4446,116.8435,112.5762,100.223,92.5228,88.8967,102.0781,92.3121
2022-05-16,96.9507,117.201,115.2534,99.5698,92.8683,88.4687,102.0692,93.4417
2022-05-17,96.4121,119.3427,116.347,98.6831,92.7146,88.6803,102.6968,92.2894
2022-05-18,95.7846,119.3755,116.2021,98.2052,92.2307,87.5726,102.7174,92.0782
2022-05-19,96.3323,120.3087,117.3621,99.1549,92.6986,87.1576,103.0126,92.5875
2022-05-20,96.6194,118.8403,115.9768,100.0041,92.9284,87.6497,102.697,92.7525
2022-05-23,97.5193,117.9309,116.0535,100.9086,93.54,88.0786,102.5375,93.0593
2022-05-24,98.7217,116.5067,115.7704,102.1927,95.5632,89.2009,102.4307,93.3439
2022-05-25,99.0116,117.3326,116.0692,103.1339,95.4777,90.0605,103.0328,93.4686
2022-05-26,98.6322,119.031,118.045,102.4413,94.8902,89.6614,103.1887,92.5181
2022-05-27,97.7307,118.6223,117.8228,101.4054,95.0149,88.7131,103.2,91.8632
2022-05-30,97.7239,119.3613,116.7554,101.6198,95.0244,88.9151,103.4825,93.5613
2022-05-31,97.1709,119.0575,115.9676,100.6355,94.104,89.0101,103.6225,92.7287
2022-06-01,96.4414,119.8936,115.4458,100.053,93.486,87.71,104.0468,93.2889
2022-06-02,95.9186,119.7314,115.6652,99.5557,93.4119,88.4503,103.9707,92.6144
2022-06-03,94.7001,119.5089,115.4358,98.8828,91.9507,87.6306,103.8303,92.2466
2022-06-06,97.0113,117.9474,114.9712,102.3321,94.5282,90.2937,103.7042,94.1824
2022-06-07,97.5945,118.8866,116.1116,103.3834,95.7239,91.5,104.2123,95.5875
2022-06-08,97.4786,119.115,117.4483,102.833,95.9017,91.3161,104.2356,96.5422
2022-06-09,97.6945,119.0957,116.0163,103.5026,96.4291,92.6181,104.2729,97.1045
2022-06-10,97.965,120.6759,116.2586,104.0546,96.9976,92.9822,104.6483,97.6382
2022-06-13,99.0034,119.15,116.2827,105.0213,98.7985,93.1081,104.221,98.8567
2022-06-14,100.5155,118.4672,115.7824,107.9621,99.3038,92.8249,104.1667,99.1574
2022-06-15,99.5805,119.6234,116.1486,106.4712,97.5742,92.4452,104.507,98.2089
2022-06-16,101.3673,117.7569,114.4271,108.4178,99.2232,93.7769,104.1353,99.861
2022-06-17,100.2026,119.7669,114.5735,107.5534,98.2564,93.2181,104.7066,99.3648
2022-06-20,100.8545,120.9348,115.095,108.8374,98.7731,94.4518,104.9518,101.3756
2022-06-21,100.8564,119.4184,114.9752,108.4405,99.3778,94.2253,104.4881,100.0255
2022-06-22,100.4633,117.0293,112.8233,108.2661,99.5076,94.2042,103.7496,99.59
2022-06-23,100.5001,115.8313,114.1927,108.7573,99.5154,94.3106,103.4151,98.1015
2022-06-24,100.3043,115.2305,113.0149,108.3385,100.4543,94.7035,103.2205,98.6858
2022-06-27,101.6778,115.6494,113.3497,109.8451,102.219,96.0153,103.5696,100.6014
2022-06-28,102.7323,114.7019,114.7056,111.3366,104.7066,96.7808,103.6344,102.1619
2022-06-29,102.1377,114.4633,114.2607,110.7796,104.4647,96.0835,103.5441,103.2677
2022-06-30,103.8548,114.2571,114.5002,113.1444,106.5716,96.8629,103.5408,103.5027
2022-07-01,104.2902,114.7704,114.1582,114.6355,106.0943,96.1676,103.7173,104.186
2022-07-04,106.0003,113.666,115.3207,116.9044,107.7516,97.9228,103.5911,104.5812
2022-07-05,107.5295,114.5107,115.025,119.2515,109.5106,99.1943,103.8485,105.4574
2022-07-06,107.5464,115.7224,115.8509,119.1111,110.054,97.7172,104.3255,104.1312
2022-07-07,107.2192,114.7157,114.2509,119.3246,109.3568,97.5483,104.0645,103.9757
2022-07-08,107.3403,113.3836,115.0828,119.1664,108.4992,97.2351,103.8889,104.4514
2022-07-11,107.0277,113.1694,114.6775,119.964,108.4302,97.3011,103.9965,104.4411
2022-07-12,106.8071,113.0759,114.5728,119.6468,108.7236,97.2706,104.0913,104.3875
2022-07-13,106.9296,111.0424,115.1849,119.9609,109.6767,95.9508,103.8224,104.3644
2022-07-14,108.0981,109.6123,115.7185,120.9139,110.4968,97.7672,103.4499,105.6101
2022-07-15,109.0349,109.7853,116.0462,122.4412,113.1209,98.7425,103.6133,107.7764
2022-07-18,110.2236,110.548,117.0458,123.4367,115.5089,99.1877,103.9353,108.5838
2022-07-19,110.2006,110.9017,117.4778,123.6876,116.6826,99.6788,104.0159,109.7697
2022-07-20,111.4899,109.2581,117.9728,125.8497,117.8745,101.377,103.5893,111.012
2022-07-21,111.3512,109.3427,116.7953,124.7803,118.8888,100.9424,103.501,109.326
2022-07-22,110.7198,108.2941,118.2953,124.5027,117.8557,101.8105,103.2904,108.7035
2022-07-25,108.1351,111.4084,117.1172,120.0452,115.7735,101.4163,104.3608,107.638
2022-07-26,108.7894,112.0409,118.1623,121.1413,116.5363,101.9127,104.4303,108.0238
2022-07-27,107.0832,112.5803,116.9934,118.1744,114.8451,101.4354,104.6915,105.5343
2022-07-28,106.1193,113.9,116.0857,116.792,114.1429,100.17,105.0543,103.6767
2022-07-29,105.5555,114.4587,114.4305,116.313,113.4214,99.9703,105.2716,104.2028
2022-08-01,105.7233,113.9806,114.5067,116.8483,113.652,100.1353,105.0326,103.7789
2022-08-02,104.3568,116.2936,113.4753,114.6804,111.5482,99.4396,105.591,103.5208
2022-08-03,103.7309,116.8497,112.6398,115.0762,109.9566,98.9371,105.8193,102.9767
2022-08-04,103.5898,116.7937,112.6735,114.8103,110.5013,100.224,105.7476,102.2362
2022-08-05,103.5444,119.5163,112.3435,115.7772,111.4672,100.0567,106.622,103.7482
2022-08-08,103.2128,119.4576,111.7039,114.7519,110.6393,98.9672,106.589,102.5859
2022-08-09,103.4834,117.7179,111.7878,115.5503,109.5799,99.127,106.3008,101.49
2022-08-10,105.169,117.5092,111.2488,117.8427,111.6556,100.4617,106.4622,102.3396
2022-08-11,105.3803,115.9717,110.9013,117.5705,111.4116,101.2177,106.2438,102.9751
2022-08-12,104.3289,116.0734,112.0502,116.2231,112.0716,101.0739,106.248,102.4858
2022-08-15,104.503,115.8713,112.7838,117.0154,111.7232,100.3657,105.8501,102.6094
2022-08-16,103.4494,114.0834,112.7445,116.9522,110.7088,100.1092,105.3079,101.5832
2022-08-17,104.3941,113.4469,113.0392,118.4437,111.2424,101.3111,105.1499,101.7529
2022-08-18,104.9679,112.3443,112.949,119.2146,112.6563,102.1862,104.8941,103.0985
2022-08-19,106.3962,112.3894,113.1621,120.4561,113.3692,102.9184,104.8701,103.9296
2022-08-22,106.496,112.9047,113.2148,120.9152,113.485,101.8297,104.8482,103.6462
2022-08-23,105.3147,113.9684,114.888,120.0396,112.1494,101.8812,105.0693,102.6049
2022-08-24,104.7432,113.9009,114.4075,119.3483,111.6593,101.4517,105.1051,103.0433
2022-08-25,105.7299,112.043,111.4971,121.2316,111.609,101.7218,104.5123,101.84
2022-08-26,106.3161,112.605,111.0963,120.5443,111.7817,102.2485,104.4841,102.3976
2022-08-29,106.3431,113.198,111.3486,120.0377,112.6612,102.3477,104.6623,102.0227
2022-08-30,105.9378,112.4803,111.0042,120.4743,111.2566,100.896,104.64,101.0195
2022-08-31,105.3069,113.7782,110.5646,120.7339,110.9923,100.2088,105.3371,100.1833
2022-09-01,106.0914,113.8073,112.0103,122.7845,111.8647,100.4462,105.4115,100.3071
2022-09-02,108.1631,113.1905,111.7865,125.8407,112.9952,101.1945,105.5279,101.1377
2022-09-05,107.1306,114.1319,113.0789,124.8546,112.7034,100.2187,105.4735,101.5683
2022-09-06,106.845,114.0064,114.4239,124.7952,112.8225,101.4028,105.31,102.3875
2022-09-07,106.9456,114.2642,116.117,125.2743,113.3876,102.2715,105.3009,102.141
2022-09-08,105.9269,112.6685,117.9047,123.0774,112.3947,101.4471,104.7837,101.9654
2022-09-09,106.8352,111.7683,117.6784,124.5292,113.1667,103.0159,104.6825,103.3647
2022-09-12,107.5507,112.6958,118.1675,124.808,114.1687,103.2204,104.8933,104.5043
2022-09-13,108.8589,112.2599,118.6012,127.7223,115.6963,105.8019,104.9571,104.5523
2022-09-14,109.6815,112.3662,120.1558,129.3521,116.497,105.7422,104.9392,104.4699
2022-09-15,109.1205,113.1784,122.1192,128.8328,115.0876,105.5069,105.264,103.5072
2022-09-16,109.0252,113.2504,121.2536,129.1225,114.8435,105.6211,105.1635,102.9856
2022-09-19,109.817,112.6095,123.1772,130.0121,115.9469,106.9252,104.7594,102.477
2022-09-20,108.2693,114.4527,122.747,129.479,113.8088,105.7436,105.4484,102.6484
2022-09-21,110.433,114.9058,124.3009,133.0749,116.595,107.2345,105.5312,104.564
2022-09-22,110.2986,114.5143,125.0206,133.5008,116.5736,108.1061,105.2274,104.4167
2022-09-23,109.5916,112.892,124.5158,132.3178,117.0617,108.1993,104.612,105.5517
2022-09-26,110.9067,113.0252,124.4735,133.6671,118.121,109.7994,105.039,108.0239
2022-09-27,110.436,112.0896,124.3975,131.7803,117.9592,109.397,104.6806,106.422
2022-09-28,111.019,111.3735,122.9968,130.7578,118.5325,110.858,104.8417,106.8336
2022-09-29,110.4283,112.0678,121.9493,130.1365,118.4129,111.2293,105.05,106.4268
2022-09-30,109.5514,111.577,121.4988,129.094,118.2111,110.1667,105.119,105.6205
2022-10-03,109.573,110.8497,118.6487,129.6743,118.6681,109.9717,105.0101,105.9417
2022-10-04,107.9903,110.9104,119.3502,126.581,117.3086,107.9692,104.9845,104.6263
2022-10-05,106.3765,112.6623,118.7073,123.8253,115.6594,107.3874,105.2743,103.4783
2022-10-06,106.8524,113.2033,119.0868,124.3164,115.5302,107.6859,105.2628,101.4586
2022-10-07,107.3383,113.9564,116.7168,124.4354,116.3299,109.2643,105.6159,101.5743
2022-10-10,107.1947,115.4268,116.3035,123.8068,115.7224,108.4143,106.0411,102.5183
2022-10-11,107.5666,115.0505,115.9816,123.3817,116.7829,108.7675,105.9545,105.4514
2022-10-12,107.9149,114.1734,115.4178,124.5541,117.2309,108.1458,105.8777,105.0282
2022-10-13,109.8786,114.5665,115.2751,128.16,119.2683,110.1878,106.1978,106.1008
2022-10-14,109.2508,115.8686,115.1064,127.065,117.8048,109.7743,106.8658,104.7165
2022-10-17,109.3196,117.3224,115.3193,127.5134,116.9942,109.9113,107.2325,105.3677
2022-10-18,110.5965,119.5699,116.5261,129.6473,118.383,110.7382,107.9554,106.3445
2022-10-19,110.8177,120.9121,115.7333,130.7576,119.4779,110.9753,108.0312,106.1547
2022-10-20,112.2275,120.3734,114.7543,132.4761,121.5504,112.4863,107.9784,107.2084
2022-10-21,111.8547,119.5493,116.2904,131.7068,122.2581,113.4861,107.8898,107.1534
2022-10-24,112.3284,119.3702,115.3603,132.6122,121.7741,114.3757,107.8151,107.4589
2022-10-25,112.6757,118.9899,115.9737,132.8064,122.8784,113.9497,107.7316,109.3894
2022-10-26,111.65,118.6752,116.3608,131.4368,122.1271,113.5567,107.6924,109.6077
2022-10-27,112.1293,118.2658,117.0821,133.3614,122.5637,113.3387,107.7513,109.788
2022-10-28,109.8598,120.0191,116.5738,130.0568,120.3302,111.6803,108.254,107.6683
2022-10-31,110.4392,119.5443,117.3699,131.2926,120.275,112.7352,108.0419,108.6917
2022-11-01,110.8687,121.3611,117.534,131.7758,120.6173,112.8422,108.6962,107.8307
2022-11-02,109.8033,120.6403,118.32,131.3145,119.4942,111.9517,108.4189,107.7825
2022-11-03,108.8799,121.2754,119.4053,130.315,118.7017,111.9544,108.0729,107.6139
2022-11-04,108.2469,119.5708,119.5889,130.2167,118.0238,112.0908,107.8411,108.1915
2022-11-07,109.9766,119.7156,119.9375,131.7707,119.6645,112.8904,108.3229,109.5972
2022-11-08,110.1493,120.2613,120.1279,133.1604,119.3228,113.0592,108.346,108.462
2022-11-09,109.5532,120.4735,119.6335,131.8402,117.5957,112.2591,108.1125,108.145
2022-11-10,109.6828,118.885,119.0273,131.4997,118.0301,113.2591,107.4141,108.4158
2022-11-11,109.5599,119.6657,119.4109,130.8731,117.6483,112.5908,107.7774,108.2952
2022-11-14,111.5825,118.8518,118.7479,132.8573,118.3785,112.8323,107.6898,109.8383
2022-11-15,109.951,120.4305,118.3323,130.6333,117.8432,112.3478,108.0414,108.1996
2022-11-16,107.7473,120.5286,117.8625,126.7898,115.4715,110.6004,107.9187,105.7807
2022-11-17,107.9631,120.9423,116.7959,128.0125,115.52,110.6993,108.1923,106.0444
2022-11-18,108.9838,120.8753,116.2672,129.7429,115.6797,111.356,108.2287,106.4421
2022-11-21,108.8944,118.9099,115.3264,129.6147,115.7574,110.6299,107.9145,105.5517
2022-11-22,109.9408,118.9858,114.7965,132.2999,115.8724,111.812,108.1698,105.6804
2022-11-23,111.4391,118.1773,115.1524,134.6747,117.3373,113.518,108.1619,105.645
2022-11-24,112.8646,115.9235,116.0225,137.4731,118.1036,114.2914,107.3776,106.2401
2022-11-25,112.5794,116.8535,117.5851,138.0418,117.4112,113.9259,107.2877,105.2005
2022-11-28,113.6564,118.1656,116.6407,139.3318,118.3417,114.8488,107.6183,106.3752
2022-11-29,113.1902,118.3437,117.2237,138.6537,117.5691,114.3705,107.6027,105.6293
2022-11-30,112.9572,120.1363,118.1552,138.1844,117.8222,114.1041,108.2645,106.0293
2022-12-01,112.8873,120.665,116.5474,137.3468,116.741,113.8206,108.7291,107.5133
2022-12-02,113.6167,120.954,114.765,138.0987,116.7576,113.7236,108.8588,107.3837
2022-12-05,111.5257,122.5624,113.6883,135.2068,116.1157,111.7539,108.8174,105.6412
2022-12-06,112.7368,124.257,112.8529,137.4233,116.826,112.4584,109.8091,105.4434
2022-12-07,113.0537,124.6768,114.1095,137.995,117.4197,112.5699,109.9481,105.5586
2022-12-08,113.7665,124.0165,114.4922,139.0369,119.032,113.2997,109.5186,107.2791
2022-12-09,112.8331,123.6759,113.7106,138.5758,116.4199,114.2306,109.5788,106.4954
2022-12-12,112.8194,124.0202,114.3324,139.0231,116.8317,114.4053,109.6294,106.5111
2022-12-13,112.6556,125.3593,115.1894,136.8238,117.1769,114.5197,109.9729,106.4481
2022-12-14,113.9037,125.9553,114.6345,139.002,117.6131,114.38,110.0842,107.6938
2022-12-15,114.9806,126.1388,115.5754,140.9957,118.2253,115.4457,110.2964,109.1616
2022-12-16,116.3253,126.4429,116.1759,143.7967,119.5278,115.9335,110.3961,109.5449
2022-12-19,115.6257,126.5717,115.2837,142.5333,117.3306,115.1515,110.3924,107.8453
2022-12-20,116.3961,127.3579,113.8124,143.2123,117.3785,114.8723,110.8114,108.0197
2022-12-21,116.1502,125.2064,114.1056,141.8991,117.3281,114.9233,110.4545,106.9078
2022-12-22,112.8648,126.6758,115.8994,137.8912,114.3347,112.2275,110.7432,103.6666
2022-12-23,113.4207,127.0526,117.182,140.6313,115.1792,112.479,110.8288,102.7583
2022-12-26,112.7175,126.891,116.5193,139.672,113.8576,112.4883,110.7672,102.0855
2022-12-27,112.4115,127.2122,117.443,138.634,113.1249,111.9914,110.5656,101.0768
2022-12-28,111.9479,128.4111,117.8976,138.1199,113.2618,111.6903,110.9241,100.8739
2022-12-29,112.2749,127.6396,115.1646,138.5133,114.504,112.605,111.0254,102.3204
2022-12-30,112.4144,127.8337,114.5737,138.5313,115.0531,113.5427,111.1082,102.3209
2023-01-02,112.4599,128.5251,113.1844,137.0724,114.603,112.5695,111.2333,101.979
2023-01-03,112.0206,130.3878,113.8008,136.6963,114.5737,111.6029,111.8565,101.7133
2023-01-04,112.779,128.8612,112.0212,138.349,115.553,111.5825,111.4026,102.91
2023-01-05,111.5498,131.2623,111.3584,137.0275,113.9417,110.8936,111.898,101.7661
2023-01-06,111.6377,130.0817,111.9573,136.7871,113.9561,110.3432,111.12,101.4314
2023-01-09,114.2411,129.9542,112.2343,140.5492,116.5298,112.6871,111.0391,104.334
2023-01-10,115.0632,130.4835,112.8846,141.8424,117.844,113.8328,111.1641,104.7865
2023-01-11,115.2206,132.2458,111.9145,141.1344,117.994,113.9031,111.702,105.1827
2023-01-12,115.0223,134.1053,110.5505,140.3403,117.5581,112.5289,112.1668,106.0866
2023-01-13,115.0912,134.3793,109.3298,140.0422,117.2612,112.2197,112.4949,106.4701
2023-01-16,113.922,135.1788,109.843,139.119,117.2957,110.9721,112.488,104.7519
2023-01-17,113.7143,135.8531,110.9407,138.7918,116.884,110.9174,112.4648,106.1982
2023-01-18,112.023,136.8108,112.9871,136.3001,115.1589,109.5031,112.5032,105.9802
2023-01-19,109.7139,139.6921,111.6974,132.7703,112.3719,107.9322,112.8601,104.3253
2023-01-20,111.8677,137.0656,111.7658,135.4787,114.91,109.6785,112.2378,106.5016
2023-01-23,113.83,136.0187,112.5901,137.5221,116.2349,111.36,112.3146,108.3902
2023-01-24,113.537,136.1676,111.2956,137.5157,116.5188,110.9077,112.306,108.3742
2023-01-25,113.1114,136.2933,113.4411,136.7312,115.9564,110.2495,112.3579,107.9213
2023-01-26,112.4588,138.1984,115.1686,135.4323,113.9422,110.1666,112.6107,107.8452
2023-01-27,110.3991,140.2097,113.9694,132.9446,111.795,107.9068,112.9469,106.4922
2023-01-30,110.5543,140.898,116.1903,132.1848,113.2175,108.4538,112.9315,106.1284
2023-01-31,110.3999,142.1506,116.2464,132.9951,111.9384,108.0904,112.9847,105.8545
2023-02-01,111.3742,141.2077,113.4397,134.5569,113.0799,108.9851,113.1321,105.814
2023-02-02,112.1385,142.3953,111.8624,135.9588,113.3067,109.3102,113.5733,105.8577
2023-02-03,111.4635,142.7671,110.7323,134.2495,113.0825,108.1026,113.7778,105.7024
2023-02-06,109.6806,142.7341,111.7598,130.9677,111.0915,107.0399,113.7657,104.1392
2023-02-07,109.1019,144.8329,113.813,130.8256,110.6062,106.2213,114.0199,104.0949
2023-02-08,109.5792,146.4466,114.8101,130.6233,111.8185,106.1565,114.3484,104.9412
2023-02-09,111.7005,149.5366,116.1843,133.7256,114.2122,108.3929,115.1412,108.4502
2023-02-10,111.9893,150.0936,117.0319,134.4598,115.1276,108.3996,115.1712,107.9497
2023-02-13,112.5017,150.9237,117.7275,136.3662,115.6079,109.2329,115.1894,108.0723
2023-02-14,113.2901,151.7241,117.6379,137.5337,115.2121,109.335,115.5558,108.8531
2023-02-15,113.8742,151.5478,117.7066,137.9688,116.3143,110.1419,115.6559,109.1754
2023-02-16,111.5903,154.1216,117.3075,134.0659,114.4872,108.2327,116.3319,108.0191
2023-02-17,112.3596,151.9071,118.4125,135.3267,115.1153,108.9333,115.5101,108.8347
2023-02-20,111.3057,150.6076,116.4446,134.4817,113.5525,108.9088,115.1196,106.3684
2023-02-21,110.1697,152.8321,116.481,132.5076,112.4791,108.3533,115.7798,106.7915
2023-02-22,109.8372,151.2205,115.7802,132.1526,111.4816,107.3333,115.4404,106.0709
2023-02-23,109.9153,150.1924,115.4111,131.6505,112.2272,108.15,114.9217,105.6116
2023-02-24,108.3966,150.0799,115.138,128.4796,110.0889,106.2032,114.8217,104.131
